Map: Shrine Ruins | Difficulty: easy | Target: Jagras | Objective: Slay 8 Jagras | Description: Those in-fur-nal Jagras keep messing with my visits to the Shrine Ruins. They're after the offur-ings I bring with me, those rude, blasphemous fiends! Send them running with their tails between their legs!
Map: Shrine Ruins | Difficulty: easy | Target: None | Objective: Deliver 8 Unique Mushrooms | Description: I've been dreaming of opening my own restaurant, but I spent so much time experimenting with the menu that I ran out of ingredients! I'll never be able to open if I don't get some more. Think you can help me out?
Map: Shrine Ruins | Difficulty: easy | Target: Baggi | Objective: Slay 8 Baggi | Description: I'm fixin' up the ol' camp, but I'm out of raw materials. Can't go get more 'cause everywhere ya go, Baggi are snappin' and slashin' at ya. Think you can get 'em to scram so I can go get what I need?
Map: Shrine Ruins | Difficulty: easy | Target: None | Objective: Deliver 8 Firelanterns | Description: Firelanterns are, like, so pretty! So red. So round. Something about them is simply magical. I totally want see them all the time so maybe I should put 'em in my room? What do you say? Think you can get me some?
Map: Shrine Ruins | Difficulty: easy | Target: Arzuros | Objective: Hunt an Arzuros | Description: This is terrible... If it goes on eating this much, there won't be a single fish left for us to catch! Hunt that thing before all the fish totally vanish from our rivers, will ya?
Map: Frost Islands | Difficulty: easy | Target: None | Objective: Deliver 10 Raftshells | Description: Raftshells are just SO good. That gooeyness is to die for! And I almost did 'cause I couldn't stop stuffin' my face with 'em... Now my wife says I'm not allowed to have 'em anymore, but I can't take it!â€”I HAVE to have 'em! Think you can sneak me a few?
Map: Frost Islands | Difficulty: easy | Target: Baggi | Objective: Slay 10 Baggi | Description: The darndest thing keeps happening. Every time I use this path, I fall asleep! When I wake up, my stuff is all chewed up! I know this place is infested with monsters...maybe they're behind this! You gotta do something or my biz is done for!
Map: Frost Islands | Difficulty: easy | Target: Great Baggi | Objective: Hunt a Great Baggi | Description: A Great Baggi and its little fur-iends were being a nuisance in the Fur-ost Islands, so I went to teach 'em a lesson. But when I got there, I passed out. Was it the cold? Just thinking about it makes me...so...sleeâ€”ZZZzzz...
Map: Frost Islands | Difficulty: easy | Target: Lagombi | Objective: Hunt a Lagombi | Description: I went hunting for some food but came across a Lagombi. I am NOT trying to get eaten by that thing. Hunter do you think you can take care of it for me, please?
Map: Shrine Ruins | Difficulty: easy | Target: Great Baggi | Objective: Hunt a Great Baggi | Description: A stupid Great Baggi's going crazy at the Shrine Ruins, meaning my ingredients supplier is seriously in danger! Can you deal with that dumb Great Baggi so my supplier can deliver the ingredients?
Map: Shrine Ruins | Difficulty: easy | Target: Kulu-Ya-Ku, Tetranadon | Objective: Slay a total of 14 Kulu-Ya-Ku or Tetranadon | Description: Some kids were telling us about all the bugs at the Shrine Ruins. Creepy crawly bugs...bugs that flyâ€”yuck! I am NOT going there with all those bugs! Can you go out and exterminate those pests!?
Map: Frost Islands | Difficulty: easy | Target: None | Objective: Deliver 3 Popo Tonguesa | Description: Meow I'll never learn to cook meat! Too fast and it's raw, too slow and it's burnt... I need more purr-actice but I'm all out of Popo Tongues. Think you can get me some more?
