"Horodateur","Do you know the game Monster Hunter? Grade how familiar with the game you are.","Have you ever played the game?","Grade the grammar (spelling mistakes etc...).","Grade the syntax (is the word order correct? are the verbs well conjugated? etc)","How coherent is the quest? Grade on a scale from 1 to 5.","Grade how suitable the language used is for this kind of quest.","According to you, does the quest contain enough information? (goal, tasks etc...)","Additional comments","Grade the grammar (spelling mistakes etc...).","Grade the syntax (is the word order correct? are the verbs well conjugated? etc)","How coherent is the quest? Grade on a scale from 1 to 5.","Grade how suitable the language used is for this kind of quest.","According to you, does the quest contain enough information? (goal, tasks etc...)","Additional comments","Grade the grammar (spelling mistakes etc...).","Grade the syntax (is the word order correct? are the verbs well conjugated? etc)","How coherent is the quest? Grade on a scale from 1 to 5.","Grade how suitable the language used is for this kind of quest.","According to you, does the quest contain enough information? (goal, tasks etc...)","Additional comments","Grade the grammar (spelling mistakes etc...).","Grade the syntax (is the word order correct? are the verbs well conjugated? etc)","How coherent is the quest? Grade on a scale from 1 to 5.","Grade how suitable the language used is for this kind of quest.","According to you, does the quest contain enough information? (goal, tasks etc...)","Additional comments","Grade the grammar (spelling mistakes etc...).","Grade the syntax (is the word order correct? are the verbs well conjugated? etc)","How coherent is the quest? Grade on a scale from 1 to 5.","Grade how suitable the language used is for this kind of quest.","According to you, does the quest contain enough information? (goal, tasks etc...)","Additional comments","Grade the grammar (spelling mistakes etc...).","Grade the syntax (is the word order correct? are the verbs well conjugated? etc)","How coherent is the quest? Grade on a scale from 1 to 5.","Grade how suitable the language used is for this kind of quest.","According to you, does the quest contain enough information? (goal, tasks etc...)","Additional comments","Grade the grammar (spelling mistakes etc...).","Grade the syntax (is the word order correct? are the verbs well conjugated? etc)","How coherent is the quest? Grade on a scale from 1 to 5.","Grade how suitable the language used is for this kind of quest.","According to you, does the quest contain enough information? (goal, tasks etc...)","Additional comments","Grade the grammar (spelling mistakes etc...).","Grade the syntax (is the word order correct? are the verbs well conjugated? etc)","How coherent is the quest? Grade on a scale from 1 to 5.","Grade how suitable the language used is for this kind of quest.","According to you, does the quest contain enough information? (goal, tasks etc...)","Additional comments","Grade the grammar (spelling mistakes etc...).","Grade the syntax (is the word order correct? are the verbs well conjugated? etc)","How coherent is the quest? Grade on a scale from 1 to 5.","Grade how suitable the language used is for this kind of quest.","According to you, does the quest contain enough information? (goal, tasks etc...)","Additional comments","Grade the grammar (spelling mistakes etc...).","Grade the syntax (is the word order correct? are the verbs well conjugated? etc)","Grade how suitable the language used is for this kind of quest.","How coherent is the quest? Grade on a scale from 1 to 5.","According to you, does the quest contain enough information? (goal, tasks etc...)","Additional comments"
"2024/02/26 12:03:53 AM UTC+1","4","No","3","4","3","4","3","The monster don't really interact with the npc, and why would you hunt it, why do he want to know how it work ?","5","5","3","4","2","Tips for fight can be easly add in there like some funny way to say tail head and wings are his weak spots","5","5","5","3","4","A final quest should have more enigmatic aspect you shouldn't be aware of what you are going to face and what's happening to you, more majestic word cause you are gona become a legend so we need to feel it","5","5","5","5","5","Perfect side or principal quest!","5","5","5","5","5","Atypical npc, kinda funny one love it ","5","5","5","5","5","","5","5","5","5","5","","5","5","5","5","5","","5","5","5","5","5","Perfect information without pointing directly at the player, perfect side quest we have here","5","5","5","5","5","Short and enough!"
"2024/02/26 4:19:11 PM UTC+1","1","No","4","4","5","5","5","","4","4","3","5","4","","5","5","4","5","4","","5","5","5","5","5","","5","4","3","5","4","","5","5","5","5","5","","5","5","4","5","4","","5","5","5","5","5","","5","5","5","5","5","","5","5","5","3","3",""
"2024/02/26 9:47:28 PM UTC+1","1","No","5","4","3","4","2","","5","5","5","5","3","","5","5","5","5","3","","5","5","5","5","5","","4","5","5","5","5","","5","5","5","5","5","","4","5","5","5","4","","4","5","5","5","5","","4","5","5","5","5","","4","5","5","5","5",""
"2024/02/26 10:32:22 PM UTC+1","5","Yes","5","3","5","4","5","","5","5","4","5","5","i wish the quest giver would also mention the kulu-ya-ku but that's just personal preference. i don't believe the monster hunter games always mention all the monsters in the quest.","5","5","2","3","5","I don't believe hunting 4 monsters including a lunastra and a ruiner nergigante is considered a ""medium difficulty"" but yeah, i'd at least grade this very difficult. 
Also, I find this very weird as a last quest. It'd usually be a standalone monster, like a shagaru magala or a xeno'jiiva or two ancient dragons or whatever so this seems like a pretty weird set of monsters to me.","5","5","3","5","5","again, deviljho as an easy difficulty is pretty weird to me. Also, I think the sentence could be worded better than ""one of our members may or may not have been seen in the Ancient Forest""","5","5","2","3","5","I'm not sure I understand what the correlation between the tigrex and the boy's growth is. Also, the objective says to Hunt all target monsters even though there's only one monster. I think that's a typo?","5","5","1","5","5","1. What Commander of this expedition? why is the person talking about a commander and then about the subspecies right after? it doesn't make sense. Also, the difficulty is set as 'difficult' but the monster is only an uragaan. Maybe if it had some kind of special trait i'd understand but this is kinda weird","3","5","5","5","5","iirc, the game's quests never say ""Hunt monster 1 and 2"" but ""Hunt all target monsters"" when there's more than one. I may be wrong though.","5","5","1","2","3","Not the 7 diablos being medium difficulty lol
Also the quest description makes no sense cause it mentions the Jungle even though it takes place in the arena.
Also why does it say ""Hunter, please find out for me"" out of nowhere? find what?","5","4","1","3","5","in what kind of infernal and nightmarish monster game would you hunt 20 rajangs in 1 quest??????????
also easy difficulty again???
and why would the person say ""my brother's mother's cousin"" instead of literally ""my mother's cousin""? i understand the intended humor but it doesn't work with your own brother lol
also, the end of the quest doesn't make sense","5","5","5","1","5","- the quest can honestly be easy difficult if it's only slaying a royal ludroth
- why is the hunter talking about the arena and using the provided equipment when it's taking place in the jungle"
"2024/02/27 12:01:46 AM UTC+1","4","Yes","4","3","1","3","4","","5","4","2","4","4","","5","5","5","5","5","","5","5","5","5","5","","5","4","1","3","3","","5","5","3","5","5","","5","5","4","5","4","","5","5","2","3","4","","5","5","1","4","4","","5","5","5","2","4",""
"2024/02/27 4:33:20 PM UTC+1","3","Yes","3","3","4","5","5","","4","4","4","4","4","","4","4","4","4","4","","4","4","4","4","4","","4","4","4","4","4","","4","4","4","4","4","","4","4","4","4","4","","4","4","4","4","4","","4","4","4","4","4","","4","4","4","4","4",""
"2024/02/27 7:28:20 PM UTC+1","2","Yes","4","5","3","3","2","","5","5","1","5","1","The Kulu-Ya-Ku monster seems irrelevant judging by the description","5","5","3","5","4","","5","4","5","5","4","","5","5","1","3","1","","5","5","3","3","2","","5","5","5","4","4","","5","5","4","4","5","","5","5","2","3","2","""my brother's mother"" so your mother","5","5","4","1","1","What equipment are we talking about?"
"2024/02/27 8:35:06 PM UTC+1","1","No","4","4","4","5","5","","4","4","3","3","3","","4","4","3","4","3","","3","4","4","4","4","","4","4","4","4","4","","4","4","4","4","4","","4","4","4","4","4","","4","4","4","4","4","","4","4","4","4","4","","3","3","4","4","4",""
"2024/02/27 9:12:03 PM UTC+1","5","Yes","5","4","5","4","5","","5","5","3","4","5","","5","5","5","5","5","","5","5","1","3","3","","5","5","3","5","5","","5","4","3","5","5","","5","5","5","5","5","","5","4","5","5","5","","4","3","3","5","5","","5","5","5","4","5",""
"2024/02/27 9:31:01 PM UTC+1","1","No","4","2","3","1","3","","5","4","2","4","1","","4","4","4","5","3","","5","5","5","5","5","","4","4","1","1","1","","5","5","3","4","3","","5","5","3","3","2","","4","4","3","1","3","","5","4","4","4","4","","4","4","1","4","4",""
