answer_time	part_id	quest_id	type	game_knowledge	has_played	grammar	syntax	coherence	suitable	information	comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	How coherent is the quest? Grade on a scale from 1 to 5.	Grade how suitable the language used is for this kind of quest.	According to you, does the quest contain enough information? (goal, tasks etc...)	Additional comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	How coherent is the quest? Grade on a scale from 1 to 5.	Grade how suitable the language used is for this kind of quest.	According to you, does the quest contain enough information? (goal, tasks etc...)	Additional comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	How coherent is the quest? Grade on a scale from 1 to 5.	Grade how suitable the language used is for this kind of quest.	According to you, does the quest contain enough information? (goal, tasks etc...)	Additional comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	How coherent is the quest? Grade on a scale from 1 to 5.	Grade how suitable the language used is for this kind of quest.	Additional comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	How coherent is the quest? Grade on a scale from 1 to 5.	Grade how suitable the language used is for this kind of quest.	According to you, does the quest contain enough information? (goal, tasks etc...)	According to you, does the quest contain enough information? (goal, tasks etc...)	Additional comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	How coherent is the quest? Grade on a scale from 1 to 5.	Grade how suitable the language used is for this kind of quest.	According to you, does the quest contain enough information? (goal, tasks etc...)	Additional comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	How coherent is the quest? Grade on a scale from 1 to 5.	Grade how suitable the language used is for this kind of quest.	According to you, does the quest contain enough information? (goal, tasks etc...)	Additional comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	How coherent is the quest? Grade on a scale from 1 to 5.	Grade how suitable the language used is for this kind of quest.	According to you, does the quest contain enough information? (goal, tasks etc...)	Additional comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	Grade how suitable the language used is for this kind of quest.	How coherent is the quest? Grade on a scale from 1 to 5.	According to you, does the quest contain enough information? (goal, tasks etc...)	Additional comments
2024/02/26 12:03:53 AM UTC+1	1	1	real	4	FALSE	3	4	3	4	3	The monster don't really interact with the npc, and why would you hunt it, why do he want to know how it work ?	5	5	3	4	2	Tips for fight can be easly add in there like some funny way to say tail head and wings are his weak spots	5	5	5	3	4	A final quest should have more enigmatic aspect you shouldn't be aware of what you are going to face and what's happening to you, more majestic word cause you are gona become a legend so we need to feel it	5	5	5	5	5	Perfect side or principal quest!	5	5	5	5	Atypical npc, kinda funny one love it 	5	5	5	5	5	5		5	5	5	5	5		5	5	5	5	5		5	5	5	5	5	Perfect information without pointing directly at the player, perfect side quest we have here	5	5	5	5	5	Short and enough!
2024/02/26 12:03:53 AM UTC+2	1	2	generated	4	FALSE	5	5	3	4	2	Tips for fight can be easly add in there like some funny way to say tail head and wings are his weak spots																																																						
2024/02/26 12:03:53 AM UTC+3	1	3	real	4	FALSE	5	5	5	3	4	A final quest should have more enigmatic aspect you shouldn't be aware of what you are going to face and what's happening to you, more majestic word cause you are gona become a legend so we need to feel it																																																						
2024/02/26 12:03:53 AM UTC+4	1	4	generated	4	FALSE	5	5	5	5	5	Perfect side or principal quest!																																																						
2024/02/26 12:03:53 AM UTC+5	1	5	real	4	FALSE	5	5	5	5	5	Atypical npc, kinda funny one love it 																																																						
2024/02/26 12:03:53 AM UTC+6	1	6	generated	4	FALSE	5	5	5	5	5																																																							
2024/02/26 12:03:53 AM UTC+7	1	7	real	4	FALSE	5	5	5	5	5																																																							
2024/02/26 12:03:53 AM UTC+8	1	8	generated	4	FALSE	5	5	5	5	5																																																							
2024/02/26 12:03:53 AM UTC+9	1	9	real	4	FALSE	5	5	5	5	5	Perfect information without pointing directly at the player, perfect side quest we have here																																																						
2024/02/26 12:03:53 AM UTC+10	1	10	generated	4	FALSE	5	5	5	5	5	Short and enough!																																																						
2024/02/26 4:19:11 PM UTC+1	2	1	real	1	FALSE	4	4	5	5	5		4	4	3	5	4		5	5	4	5	4		5	5	5	5	5		5	4	3	5		5	5	5	5	4	5		5	5	4	5	4		5	5	5	5	5		5	5	5	5	5		5	5	5	3	3	
2024/02/26 4:19:11 PM UTC+2	2	2	generated	1	FALSE	4	4	3	5	4																																																							
2024/02/26 4:19:11 PM UTC+3	2	3	real	1	FALSE	5	5	4	5	4																																																							
